A&AS,advisory and assistance services
JAST,joint advanced strike technology
JAWS,joint advanced weapon systems
JBI,joint battlespace infosphere
J-BPDS,joint service biological point detection system
JCAD,joint chemical agent detector
JCAVS,joint clearance access and verification system
JCCC,joint communication control center
JCCC,joint combat camera center
JCG,joint commanders group for test and evaluation
JCGG337,joint commanders group for test and evaluationg337
JCIP,joint/combined interface procedure
JCL,job control language
JCLO,joint communication leasing office
JCM,joint countermine
JCN,job control number
JCO,joint certification office
JCORE,joint service cost oriented resource estimating
JCOS,joint countermine operational simulation
JCOS,joint countermine operational system
JCP,joint committee on printing
JCS,joint chiefs of staff
JCS,joint chiefs of staff 
JCS/SI,joint chiefs of staff/special instruction
JCSE,joint communications support element
JCSE,joint continuous-strike environment
JCW,joint and combined warfare
JDA,japanese defense agency
JDA,joint duty assignment
JDAL,joint duty assignment list
JDD,job data documentation
JDMAG,joint depot maintenance analysis group
JDP,joint departmental publication
JDS,joint deployment system
JDT&E,joint development test and evaluation
JEAU,joint equipment assessement unit
JECG,joint exercise control group
JEDA,joint electronic data access
JEDEC,joint electronic device engineering council
JEFX,joint expeditionary force experiment
JEIM,jet engine intermediate maintenance
JEIO,joint effectiveness and interoperability office
JEM,jet engine modulation
JEMIC,jet engine mishap investigation course
JEMP,joint exercise management package
JER,joint ethic regulation
JET,joint expeditionary tasking
JET,joint environmental toolkit
JETD,joint electronic type designator
JETDS,joint electronics type designation system
JETEC,joint expendable turbine engine concept
JFACC,joint force air component commander
JFC,joint force commander
JFIF,jpeg file interchange format
JFM,joint forces memorandum
JFMCC,joint force maritime component commander
JFMIP,joint financial management improvement program
JFP,joint frequency panel
JFR,joint functional requirement
JFRC,joint functional requirement council
JFRDT,joint functional requirement determination team
JFS,joint feasibility study
JFS,jet fuel starter
JFT,joint functional team
JFTDS,joint electronic type designation systems
JFTR,joint federal travel regulation
JG,job guide
JG-AI,joint group on acquisition initiatives
JG-APP,joint group on acquisition pollution prevention
JGPP,joint group on pollution prevention
JGSE,joint group on system engineering
JHMCS,joint helmet mounted cueing system
JIB,joint information bureau
JIC,joint intelligence center
JIEO,joint interoperability engineering organization
JIEP,joint intelligence estimate for planning
JILSMT,joint integrated logistic support managementteam
JIOC,joint information operations center
JIT,just in time
JITC,joint interoperability test command
JITC,joint integrated test center
JITC,joint interoperability test center
JITS,just in time system
JIVA,joint intelligence virtual architecture
JIWG,joint industry working group
JL,joint logistic
JLA,justice liaison auditor
JLC,joint logistics commander
JLF,joint life fire
JLLIS,joint lessons learned informationâ  system
JLOTS,joint logistic over the shore
JLRSA,joint long-range strategic appraisal
JLSC,joint logistic service committee
JLSC,joint logistic system center
JMA,joint mission area
JMAFC,joint military astray freight committee
JMAFP,joint military astray freight program
JMASS,joint modeling and simulation system
J-MASS,joint modeling and simulation system
JMC,joint management council
JMCCT,joint multinational configuration control team
JMCIS,joint maritime command information system
JMEM,joint munitions effectiveness manual
JMICS,jwics mobile integrated communication system
JML,job standard master listing
JMNA,joint military net assessment
JMO,joint management office
JMP,joint manpower program
JMPAB,joint materiel priorities and allocation board
JMPS,joint mission planning segment
JMPS,joint mission planning system
JMPTC,joint military packaging training center
JMRO,joint medical regulating office
JMRR,joint monthly readiness report
JMSNS,justification of major system new start
JMSWG,joint message standard working group
JMTC,joint military technology commission
JMTK,joint mapping toolkit
JMVX,joint multi-mission vertical lift aircraft
JNACC,joint nuclear accident coordinating center
JNWPS,joint nuclear weapon publication system
JOA,joint operating agreement
JOA,job opportunity announcement
JOB,joint oversight board
JOC,job order contract
JOCAS,job order cost accounting system
JOCG,joint ordnance commanders group
JOCOTAS,joint committee on tactical shelter
JOI,joint operating instruction
JOIN,joint optical information network
JOINT STARS,joint surveillance target acquisition radarsystem
JON,job order number
JOP,joint operating procedures
JOPES,joint operation planning and execution systems
JOPMS,job order production master system 
JOPS,joint operation planning system
JORD,joint operational requirement documents
JORL,job order register listing
JOT&E,joint operational test and evaluation
JP,joint publication
JP,jet propellant
JP2AB,joint pollution prevention advisory board
JP-4,jet fuel
JPA,joint participation agreement
JPADS,joint precision airdrop system
JPAM,joint program assessment memorandum
JPAR,joint potential assessment report
JPAS,joint personnel adjudication system
JPATS,joint primary aircraft training system
JPC,joint planning community
JPCC,joint propulsion coordinating committee
JPCG,joint policy coordinating group
JPD,joint planning document
JPD,joint potential designator
JPEC,joint planning and execution community
JPEG,joint photography expert group
JPEO,joint program executive office
JPM,joint program management
JPMO,joint program/project/product management office
JPMRC,joint patient movement requirements center
JPO,joint program office
JPO,joint petroleum office
JPO-BD,joint program office for biological defense
JPPRTS,joint power projection/real-time support
JPRA,joint personnel recovery agency
JPSD,joint precision strike demonstration
JQS,job qualification standard
JR,job routed
JRAMS,joint reliability availability management system
JRAMS,joint readiness automated management system
JRCC,joint rescue coordination center
JRD,justification review document
